EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-18.398,-1.687,4.003,6.378,-10.892,9.124,1.549,-3.187,-0.007,0.965,-0.059,3.082,-1.068,1.404,100.000,103135.000,1.000
-19.517,4.906,4.348,7.190,-11.630,12.202,4.205,-2.906,-0.007,0.963,-0.058,3.082,-0.977,1.556,100.000,103136.000,1.000
-16.871,7.917,10.753,10.046,-10.488,14.971,5.659,-4.484,-0.005,0.963,-0.059,3.265,-0.916,1.587,100.000,103137.000,1.000
-19.048,-1.476,9.669,6.206,-11.590,7.724,-0.859,-11.414,-0.003,0.962,-0.066,3.387,-0.763,1.678,100.000,103138.000,1.000
-25.362,-11.137,3.088,-0.703,-12.392,-1.180,-7.274,-16.737,-0.003,0.965,-0.066,3.479,-0.671,1.709,100.000,103139.000,1.000
-27.510,-4.751,4.421,-0.342,-8.632,3.482,-2.069,-13.411,0.000,0.968,-0.067,3.510,-0.549,1.770,100.000,103140.000,1.000
-24.670,10.270,14.728,5.975,-2.986,17.767,10.534,-6.908,0.000,0.970,-0.065,3.387,-0.427,1.862,100.000,103141.000,1.000
-21.107,15.655,23.630,9.596,1.338,24.331,17.279,-4.098,0.001,0.971,-0.069,3.326,-0.214,1.984,100.000,103142.000,1.000
-24.483,4.781,18.423,3.064,1.322,12.527,9.644,-8.411,0.000,0.970,-0.071,3.204,0.000,1.923,100.000,103143.000,1.000
-32.379,-6.111,8.503,-5.380,-0.682,-1.640,-1.467,-15.208,-0.002,0.971,-0.072,3.174,0.153,1.923,100.000,103144.000,1.000
-37.485,-3.237,8.094,-5.355,-0.152,1.058,-0.433,-16.702,-0.003,0.974,-0.070,3.082,0.336,1.770,100.000,103145.000,1.000
-36.592,6.973,16.243,1.486,4.183,15.920,12.398,-11.550,-0.006,0.976,-0.069,2.930,0.244,1.678,100.000,103146.000,1.000
-30.043,10.873,22.118,6.420,8.546,23.038,22.154,-6.695,-0.005,0.978,-0.071,2.838,0.427,1.434,100.000,103147.000,1.000
-26.666,0.977,13.374,0.671,5.172,10.630,16.301,-10.553,-0.003,0.977,-0.071,2.655,0.427,1.282,100.000,103148.000,1.000
-28.600,-9.230,1.634,-7.098,-1.681,-2.973,6.845,-16.045,-0.002,0.979,-0.070,2.472,0.580,1.068,100.000,103149.000,1.000
-31.628,-5.178,2.108,-5.766,-2.069,2.299,10.846,-12.583,-0.005,0.976,-0.072,2.197,0.763,0.610,100.000,103150.000,1.000
-34.428,5.101,9.632,0.536,2.776,17.490,23.341,-4.552,-0.003,0.976,-0.071,2.075,0.610,0.549,100.000,103151.000,1.000
-37.596,3.156,9.768,1.345,2.970,19.317,25.923,-3.498,-0.002,0.976,-0.071,1.953,0.702,0.427,100.000,103152.000,1.000
-43.202,-15.394,-5.494,-8.374,-6.544,0.086,11.365,-13.049,-0.003,0.975,-0.072,1.831,0.671,0.244,100.000,103153.000,1.000
-44.196,-27.346,-18.199,-15.484,-14.612,-14.881,-1.338,-20.280,-0.004,0.974,-0.069,1.740,0.854,0.153,100.000,103154.000,1.000
-38.535,-17.456,-14.427,-10.436,-12.725,-5.660,3.945,-16.438,-0.005,0.975,-0.071,1.556,0.793,0.031,100.000,103155.000,1.000
-34.364,-1.226,-3.605,-1.782,-7.091,12.608,17.979,-9.802,-0.005,0.973,-0.072,1.404,0.854,0.092,100.000,103156.000,1.000
-35.325,0.124,-0.654,-1.522,-7.393,13.729,21.611,-10.980,-0.007,0.969,-0.073,1.251,0.916,0.092,100.000,103157.000,1.000
-42.190,-17.030,-13.498,-13.649,-17.735,-7.442,8.256,-21.306,-0.006,0.967,-0.071,1.190,0.916,0.061,100.000,103158.000,1.000
-45.670,-29.337,-23.014,-21.444,-26.922,-21.266,-2.489,-27.295,-0.008,0.968,-0.073,1.129,0.824,-0.031,100.000,103159.000,1.000
-38.983,-20.246,-12.904,-11.990,-25.079,-6.773,5.494,-20.662,-0.008,0.968,-0.075,1.007,0.885,0.092,100.000,103160.000,1.000
-30.392,-5.044,3.377,2.443,-19.592,16.603,20.548,-11.738,-0.010,0.969,-0.076,1.007,0.763,0.153,100.000,103161.000,1.000
-29.633,-4.637,5.716,4.096,-21.931,20.390,23.241,-12.381,-0.011,0.969,-0.074,0.916,0.732,0.183,100.000,103162.000,1.000
-37.833,-18.523,-8.598,-8.572,-32.461,2.995,12.076,-21.495,-0.012,0.970,-0.075,0.885,0.641,0.183,100.000,103163.000,1.000
-40.642,-23.503,-14.541,-14.970,-36.354,-5.634,9.300,-23.604,-0.013,0.972,-0.073,0.763,0.549,0.183,100.000,103164.000,1.000
-32.062,-12.034,-1.283,-6.965,-28.344,9.187,24.269,-14.798,-0.015,0.977,-0.072,0.732,0.458,0.122,100.000,103165.000,1.000
-25.168,-2.963,12.752,-0.767,-22.341,26.166,37.119,-11.945,-0.018,0.976,-0.073,0.580,0.336,0.214,100.000,103166.000,1.000
-27.230,-6.332,14.538,-5.330,-25.741,26.443,33.319,-22.837,-0.018,0.978,-0.073,0.336,0.153,0.214,100.000,103167.000,1.000
-32.344,-12.863,7.927,-12.337,-29.472,16.534,22.729,-35.313,-0.019,0.981,-0.070,0.092,0.000,0.366,100.000,103168.000,1.000
-29.201,-9.042,9.849,-8.700,-22.852,16.095,22.721,-36.158,-0.018,0.980,-0.069,-0.031,-0.153,0.458,100.000,103169.000,1.000
-21.284,0.336,20.643,0.392,-12.346,25.512,30.811,-30.424,-0.017,0.979,-0.066,-0.183,-0.214,0.458,100.000,103170.000,1.000
-19.350,3.213,27.241,3.121,-7.789,32.033,36.000,-27.539,-0.019,0.975,-0.066,-0.336,-0.488,0.488,100.000,103171.000,1.000
-22.593,0.214,26.045,0.597,-7.681,33.121,36.849,-27.465,-0.019,0.971,-0.070,-0.397,-0.671,0.488,100.000,103172.000,1.000
-28.092,-5.513,17.113,-4.500,-10.970,30.780,33.458,-30.612,-0.020,0.968,-0.066,-0.397,-0.824,0.488,100.000,103173.000,1.000
-28.512,-7.120,13.793,-5.220,-13.810,33.054,31.834,-32.915,-0.021,0.964,-0.067,-0.244,-0.977,0.458,100.000,103174.000,1.000
-22.020,-2.057,23.285,0.646,-12.850,41.762,36.063,-30.660,-0.020,0.960,-0.066,-0.305,-1.221,0.458,100.000,103175.000,1.000
-17.356,3.159,34.127,5.848,-11.346,48.883,41.756,-27.506,-0.021,0.959,-0.067,0.000,-1.343,0.397,100.000,103176.000,1.000
-18.325,5.045,36.414,6.612,-11.931,52.146,46.457,-25.472,-0.021,0.956,-0.069,0.092,-1.587,0.427,100.000,103177.000,1.000
-23.975,1.832,27.626,2.040,-15.643,51.586,48.593,-25.371,-0.020,0.955,-0.066,0.458,-1.831,0.458,100.000,103178.000,1.000
-27.475,-3.790,18.860,-2.405,-19.345,48.933,47.934,-26.272,-0.017,0.951,-0.067,0.793,-1.892,0.366,100.000,103179.000,1.000
-26.846,-9.808,14.673,-4.658,-21.704,42.699,42.882,-28.261,-0.018,0.948,-0.069,1.160,-1.953,0.336,100.000,103180.000,1.000
-25.062,-13.292,11.702,-5.839,-22.499,34.976,36.649,-29.364,-0.018,0.949,-0.066,1.526,-2.106,0.366,100.000,103181.000,1.000
-21.071,-8.807,11.668,-3.385,-18.823,35.007,37.367,-24.339,-0.015,0.949,-0.069,1.953,-2.106,0.366,100.000,103182.000,1.000
-19.255,-3.160,8.855,-1.924,-14.733,38.685,40.691,-17.872,-0.014,0.946,-0.071,2.380,-2.167,0.366,100.000,103183.000,1.000
