EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
3.894,3.159,7.103,-2.661,3.070,-0.967,-6.743,-3.621,0.038,0.994,0.060,-1.068,-0.031,-0.580,100.000,148119.000,1.000
3.205,1.194,5.940,-2.119,3.243,-0.317,-5.101,-1.201,0.038,0.996,0.060,-1.129,-0.031,-0.702,100.000,148120.000,1.000
1.255,-1.447,2.861,-2.967,2.431,-0.270,-4.010,1.186,0.038,0.995,0.058,-1.099,0.122,-0.610,100.000,148121.000,1.000
-1.348,-3.648,-0.803,-4.584,1.225,-0.384,-3.162,3.204,0.037,0.996,0.058,-1.190,0.122,-0.732,100.000,148122.000,1.000
-3.779,-4.515,-3.652,-6.226,0.314,-0.116,-2.034,4.513,0.035,0.995,0.059,-1.251,0.153,-0.763,100.000,148123.000,1.000
-5.369,-3.777,-4.985,-7.349,0.005,0.944,-0.306,4.938,0.034,0.991,0.055,-1.251,0.092,-0.763,100.000,148124.000,1.000
-5.794,-1.729,-4.775,-7.838,0.401,2.704,1.686,4.603,0.036,0.990,0.056,-1.221,0.092,-0.916,100.000,148125.000,1.000
-5.509,0.462,-4.146,-8.214,0.662,4.193,2.638,3.433,0.037,0.990,0.057,-1.129,0.031,-0.854,100.000,148126.000,1.000
-5.253,1.592,-4.379,-9.055,-0.063,4.395,1.499,1.417,0.039,0.990,0.057,-0.977,-0.031,-0.885,100.000,148127.000,1.000
-5.553,1.282,-5.804,-10.406,-1.627,3.266,-1.364,-0.941,0.040,0.990,0.060,-0.916,0.031,-0.793,100.000,148128.000,1.000
-6.576,0.025,-7.905,-11.772,-3.254,1.674,-4.441,-2.707,0.040,0.989,0.060,-0.732,0.092,-0.671,100.000,148129.000,1.000
-8.001,-1.124,-9.643,-12.505,-4.015,0.566,-6.148,-2.987,0.040,0.990,0.062,-0.671,0.214,-0.641,100.000,148130.000,1.000
-9.457,-1.477,-10.556,-12.369,-3.936,0.232,-5.898,-1.654,0.039,0.989,0.059,-0.549,0.122,-0.580,100.000,148131.000,1.000
-10.553,-0.773,-10.641,-11.563,-3.449,0.455,-4.073,0.762,0.035,0.991,0.059,-0.458,0.092,-0.580,100.000,148132.000,1.000
-11.067,0.738,-10.073,-10.567,-2.910,0.753,-1.684,3.330,0.034,0.993,0.061,-0.488,0.183,-0.519,100.000,148133.000,1.000
-11.156,2.162,-9.359,-9.983,-2.896,0.513,0.023,4.960,0.037,0.994,0.058,-0.427,0.122,-0.458,100.000,148134.000,1.000
-11.081,2.590,-8.850,-10.221,-3.669,-0.650,0.271,5.014,0.035,0.994,0.054,-0.488,0.061,-0.336,100.000,148135.000,1.000
